Frame ID,QR ID,QR 2D,QR 3D
83,15,"[[114, 210], [186, 206], [191, 277], [119, 282]]","[2.369514355472418, 179.19634089118355, 4.68517880069542, -3.606797238145071]"
84,15,"[[112, 212], [183, 207], [190, 278], [118, 283]]","[2.392439086170379, -179.95290647073602, 4.58577575721322, -4.103138693809755]"
85,15,"[[102, 209], [175, 204], [180, 274], [108, 279]]","[2.4330424212350104, 178.6474894381169, 3.1098150123506763, -4.380282152564786]"
86,15,"[[72, 211], [145, 205], [151, 277], [78, 282]]","[2.432054089390838, 178.6278028612616, 5.059121308301729, -4.551436134857749]"
87,15,"[[28, 214], [105, 210], [110, 282], [34, 287]]","[2.475567351478029, 178.5570866766737, 4.225217399110896, -4.024136769460926]"
88,15,"[[25, 214], [102, 209], [108, 282], [31, 287]]","[2.4612431907611736, 178.4247581526666, 4.395351756235325, -4.407831052724663]"
89,15,"[[16, 212], [91, 209], [98, 282], [21, 287]]","[2.458859651185966, 179.4265106682413, 6.1202448260771245, -3.420717712450011]"
90,15,"[[8, 211], [85, 208], [91, 282], [14, 286]]","[2.4581306136834353, 179.81645944447905, 5.972009418862206, -3.0393541317155455]"
118,15,"[[19, 233], [98, 229], [105, 303], [26, 308]]","[2.4230855164072826, 179.9407827919799, 3.9419750067283608, -3.935627249639987]"
119,15,"[[29, 231], [108, 229], [113, 303], [35, 307]]","[2.3958094280238216, -179.65467939382026, 4.384828389140365, -2.6387430811211385]"
120,15,"[[48, 226], [127, 223], [132, 297], [54, 301]]","[2.375883083146029, 179.85710216626512, 3.3556859015083482, -3.120576625746497]"
121,15,"[[73, 222], [150, 219], [155, 292], [80, 297]]","[2.354897041348861, -179.6763602897838, 4.140332882378455, -3.2911387502853273]"
122,15,"[[83, 216], [159, 213], [165, 285], [89, 290]]","[2.3713734514267375, 179.98300345602757, 2.889359851569383, -3.556694890005304]"
123,15,"[[99, 205], [175, 201], [180, 274], [106, 279]]","[2.331934093058208, 179.88813884018057, 3.9331151467829657, -3.6645629968282063]"
124,15,"[[108, 200], [183, 195], [189, 268], [116, 273]]","[2.3380980981723254, -179.56285278975588, 4.080973546228042, -4.036954111085778]"
125,15,"[[114, 197], [188, 192], [194, 266], [120, 270]]","[2.3127033370695957, 179.9773978005712, 4.619032434751836, -3.5561146096920337]"
126,15,"[[125, 199], [199, 196], [205, 269], [131, 274]]","[2.2866350161382685, -179.25661776889075, 4.497045203261825, -3.10300074495985]"
127,15,"[[133, 203], [207, 199], [213, 273], [138, 277]]","[2.2667974136608606, -179.81156343681272, 4.044717473214467, -3.166574001551297]"
128,15,"[[130, 217], [207, 212], [212, 286], [137, 291]]","[2.256525359288306, 179.6943910418759, 2.616760331396111, -4.043494606935743]"
129,15,"[[124, 202], [201, 198], [206, 273], [130, 278]]","[2.2297548817340327, 179.628872789299, 3.81429795132983, -3.492932092663924]"
130,15,"[[124, 205], [203, 199], [211, 273], [134, 280]]","[2.254331579459366, -179.511302348782, 0.8019124939578562, -5.55330810112595]"
131,15,"[[133, 202], [211, 196], [220, 271], [143, 277]]","[2.2356163825440345, -178.2360382525093, 1.4275878065302723, -5.06298808770069]"
132,15,"[[149, 200], [227, 195], [235, 269], [158, 276]]","[2.209824081618408, -179.13450577668414, 0.9684891130728813, -5.051600583066896]"
133,15,"[[176, 199], [255, 194], [261, 269], [185, 274]]","[2.174084601772968, -178.5369694134391, 0.23312238113456002, -4.245377948058525]"
134,15,"[[197, 202], [274, 197], [281, 271], [205, 277]]","[2.1575825929496664, -178.96142912422872, 0.2505342947748815, -4.612182155399502]"
135,15,"[[212, 210], [287, 204], [295, 279], [221, 285]]","[2.1272874340223504, -177.3336042555233, 2.9724083008174222, -4.470947698922946]"
136,15,"[[220, 215], [295, 210], [302, 283], [226, 289]]","[2.1459861023292226, 179.86988760298007, -0.07973245674556902, -4.6438414437078395]"
137,15,"[[227, 206], [301, 200], [308, 274], [235, 280]]","[2.1354710218511004, -178.38385262105263, 2.962417493633858, -4.47372156207294]"
138,15,"[[232, 195], [307, 189], [313, 263], [239, 268]]","[2.1409935863528338, -179.60288363394892, 1.260287671442529, -4.3949947027700125]"
139,15,"[[236, 194], [310, 189], [317, 263], [243, 268]]","[2.134522373767969, -177.9845727992714, 1.9986279669366882, -3.8900788596512204]"
140,15,"[[243, 201], [317, 197], [323, 271], [248, 275]]","[2.1199179618483504, -178.7926937509905, 1.3982585368372973, -3.2135975806991364]"
141,15,"[[250, 212], [325, 207], [332, 280], [257, 286]]","[2.1161323674295462, -178.92305608713102, -0.40465528033277165, -4.603316534818857]"
142,15,"[[252, 225], [327, 219], [334, 292], [260, 299]]","[2.1051685673141423, -179.14399746425457, 0.42688495349935335, -5.163881479201161]"
143,15,"[[257, 231], [331, 225], [339, 297], [265, 304]]","[2.127914877545551, -178.62445977211732, -0.6683231628335401, -5.4055760360875755]"
