Frame ID,QR ID,QR 2D,QR 3D
444,4,"[[230, 288], [240, 289], [240, 298], [230, 298]]","[7.4873893796348145, 138.9781173984758, -14.429209589685673, 6.610866098240091]"
445,5,"[[371, 217], [389, 216], [391, 235], [373, 236]]","[3.884407455624649, 161.60002612121633, -8.17190043008149, -0.5851747612810875]"
446,5,"[[406, 219], [426, 216], [427, 235], [408, 236]]","[3.8353901869933256, -168.40083646563895, 14.170285466675224, -7.10888374386074]"
447,5,"[[428, 176], [447, 176], [448, 195], [428, 195]]","[3.8471141674040408, 160.5791539271307, 16.216251214941884, -0.6128312264989311]"
448,5,"[[476, 163], [495, 162], [496, 182], [477, 183]]","[3.8563251780297794, 178.7599912433526, 10.777409702208697, -3.116774334061393]"
449,5,"[[490, 161], [510, 160], [511, 181], [492, 182]]","[3.7020601554529122, 175.52594625521786, 8.885560015434413, -3.005271546926564]"
450,5,"[[517, 156], [538, 154], [539, 175], [519, 176]]","[3.825332415106338, -175.00396673189042, 27.152629762204267, -5.493830194851967]"
451,5,"[[535, 154], [555, 153], [557, 174], [536, 176]]","[3.7170314178697157, 179.907622742893, 14.033372880446807, -4.579786766423809]"
451,4,"[[410, 246], [420, 245], [421, 255], [411, 255]]","[7.486736937329128, -175.9892235398821, 25.122139456697287, -7.566796631536223]"
452,5,"[[536, 139], [558, 138], [558, 159], [537, 160]]","[3.7423694993233227, -168.67681991898783, 24.085249188791522, -3.48159822010599]"
453,5,"[[542, 132], [563, 132], [562, 156], [542, 157]]","[3.2735202555759892, -173.3681667493459, 0.16824991468116882, -2.2459540623601493]"
454,5,"[[555, 128], [577, 126], [578, 149], [556, 151]]","[3.5199635019460893, -172.8686058987472, 10.760789350470887, -5.825330540369285]"
454,4,"[[423, 226], [433, 226], [434, 236], [423, 236]]","[7.140410842913023, 148.8757112319643, 11.7733447299055, -0.4773286734287958]"
455,5,"[[564, 122], [587, 120], [589, 143], [566, 146]]","[3.486616446749927, -175.62797202572042, 10.577469589538797, -6.912916015210017]"
455,4,"[[430, 225], [441, 226], [441, 236], [430, 236]]","[6.844860537495805, 150.6311527518237, 13.42429646110487, 2.039955225870873]"
455,7,"[[359, 273], [359, 264], [368, 264], [368, 273]]","[8.356557501733159, 173.25040560355814, -13.403780129794315, -88.99986789198005]"
